#options: 1080x1080 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=11848 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:13.44 aq:4.90 tex:990623 mv:102234 misc:343 imb:4624 pmb:0 smb:0 d:- ref:;
in:68 out:65 type:P dur:2 cpbdur:2 q:16.27 aq:8.51 tex:814850 mv:32675 misc:507 imb:1732 pmb:2884 smb:8 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:16.30 aq:9.98 tex:440207 mv:34603 misc:846 imb:427 pmb:4132 smb:65 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:16.31 aq:11.08 tex:254586 mv:26231 misc:1599 imb:263 pmb:4116 smb:245 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:16.28 aq:11.03 tex:256689 mv:26076 misc:1659 imb:210 pmb:4116 smb:298 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:16.25 aq:8.22 tex:905655 mv:34713 misc:480 imb:2422 pmb:2191 smb:11 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:16.26 aq:9.50 tex:481634 mv:37115 misc:867 imb:471 pmb:4084 smb:69 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:16.27 aq:11.00 tex:246862 mv:27123 misc:2143 imb:180 pmb:4032 smb:412 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:16.26 aq:11.00 tex:313184 mv:32156 misc:1500 imb:401 pmb:3998 smb:225 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:16.33 aq:8.37 tex:805759 mv:29900 misc:661 imb:1350 pmb:3243 smb:31 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:16.29 aq:9.51 tex:411531 mv:29981 misc:992 imb:263 pmb:4258 smb:103 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:16.27 aq:11.00 tex:229239 mv:24536 misc:2489 imb:182 pmb:3919 smb:523 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:16.31 aq:11.08 tex:208270 mv:22455 misc:2515 imb:115 pmb:3955 smb:554 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:16.28 aq:8.51 tex:829325 mv:32925 misc:478 imb:1446 pmb:3168 smb:10 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:16.31 aq:9.93 tex:443443 mv:35300 misc:1009 imb:366 pmb:4150 smb:108 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:16.32 aq:11.15 tex:272875 mv:29688 misc:1885 imb:244 pmb:4062 smb:318 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:16.30 aq:11.19 tex:245537 mv:25103 misc:2440 imb:161 pmb:3929 smb:534 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:16.30 aq:9.00 tex:937075 mv:33662 misc:503 imb:2310 pmb:2300 smb:14 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:16.29 aq:9.75 tex:513735 mv:38875 misc:974 imb:512 pmb:4009 smb:103 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:16.29 aq:11.20 tex:277552 mv:30787 misc:2245 imb:211 pmb:3943 smb:470 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:16.30 aq:11.35 tex:314955 mv:29513 misc:2148 imb:237 pmb:3959 smb:428 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:16.40 aq:9.08 tex:926828 mv:32428 misc:552 imb:2065 pmb:2542 smb:17 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:16.35 aq:10.13 tex:495951 mv:35736 misc:1217 imb:403 pmb:4092 smb:129 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:16.33 aq:11.40 tex:301852 mv:28329 misc:1995 imb:249 pmb:4012 smb:363 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:16.38 aq:11.51 tex:273920 mv:29567 misc:2097 imb:215 pmb:4045 smb:364 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:16.45 aq:8.40 tex:1010319 mv:34291 misc:486 imb:2207 pmb:2414 smb:3 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:16.43 aq:10.55 tex:482681 mv:34229 misc:1394 imb:479 pmb:3964 smb:181 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:16.41 aq:11.55 tex:287399 mv:27478 misc:2371 imb:235 pmb:3905 smb:484 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:16.44 aq:11.46 tex:256094 mv:26621 misc:2533 imb:187 pmb:3935 smb:502 d:- ref:0 ;
in:95 out:93 type:P dur:2 cpbdur:2 q:16.55 aq:8.98 tex:816507 mv:27071 misc:1310 imb:1208 pmb:3232 smb:184 d:- ref:0 ;
in:93 out:94 type:B dur:2 cpbdur:2 q:16.48 aq:10.89 tex:301363 mv:27604 misc:2777 imb:190 pmb:3744 smb:690 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:16.51 aq:11.79 tex:245476 mv:26673 misc:2547 imb:166 pmb:3884 smb:574 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:16.61 aq:9.01 tex:957368 mv:29557 misc:659 imb:2005 pmb:2588 smb:31 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:16.58 aq:10.43 tex:436256 mv:29949 misc:1259 imb:330 pmb:4142 smb:152 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:16.56 aq:11.86 tex:253233 mv:25360 misc:2071 imb:227 pmb:4028 smb:369 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:16.59 aq:12.02 tex:197665 mv:20226 misc:2677 imb:128 pmb:3902 smb:594 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:16.70 aq:9.05 tex:525564 mv:18300 misc:1992 imb:575 pmb:3677 smb:372 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:16.80 aq:9.08 tex:856094 mv:29559 misc:667 imb:2048 pmb:2546 smb:30 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:16.75 aq:10.76 tex:441113 mv:30098 misc:1565 imb:547 pmb:3862 smb:215 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:16.73 aq:12.15 tex:214259 mv:22064 misc:2733 imb:227 pmb:3773 smb:624 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:16.78 aq:12.03 tex:241583 mv:23139 misc:2238 imb:215 pmb:3965 smb:444 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:16.77 aq:8.76 tex:849173 mv:30949 misc:574 imb:2241 pmb:2369 smb:14 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:16.79 aq:10.38 tex:434799 mv:30627 misc:1110 imb:554 pmb:3961 smb:109 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:16.79 aq:11.91 tex:248425 mv:22450 misc:2621 imb:265 pmb:3822 smb:537 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:16.78 aq:11.87 tex:240796 mv:23492 misc:2304 imb:256 pmb:3929 smb:439 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:16.71 aq:7.85 tex:777233 mv:27870 misc:625 imb:1852 pmb:2749 smb:23 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:16.74 aq:10.15 tex:359755 mv:23722 misc:1499 imb:451 pmb:3968 smb:205 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:16.76 aq:11.62 tex:213769 mv:21429 misc:2570 imb:285 pmb:3797 smb:542 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:16.73 aq:11.46 tex:176005 mv:17302 misc:2805 imb:228 pmb:3787 smb:609 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:16.60 aq:7.44 tex:704973 mv:26126 misc:749 imb:1483 pmb:3084 smb:57 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:16.66 aq:9.55 tex:255725 mv:17677 misc:1750 imb:228 pmb:4127 smb:269 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:16.69 aq:11.16 tex:140782 mv:13247 misc:2723 imb:165 pmb:3856 smb:603 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:16.63 aq:11.02 tex:129396 mv:12967 misc:2853 imb:103 pmb:3892 smb:629 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:16.57 aq:8.08 tex:909143 mv:28403 misc:438 imb:2426 pmb:2195 smb:3 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:16.58 aq:8.96 tex:332782 mv:19318 misc:1940 imb:421 pmb:3909 smb:294 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:16.59 aq:10.96 tex:127186 mv:11612 misc:3098 imb:74 pmb:3822 smb:728 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:16.57 aq:11.02 tex:161210 mv:12164 misc:3330 imb:184 pmb:3599 smb:841 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:16.56 aq:7.31 tex:765394 mv:22089 misc:541 imb:1637 pmb:2967 smb:20 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:16.57 aq:9.44 tex:322858 mv:15735 misc:1143 imb:273 pmb:4215 smb:136 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:16.57 aq:11.01 tex:164785 mv:12708 misc:2827 imb:196 pmb:3803 smb:625 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:16.56 aq:11.02 tex:146011 mv:13174 misc:2911 imb:158 pmb:3760 smb:706 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:16.47 aq:7.41 tex:706739 mv:22216 misc:789 imb:1242 pmb:3318 smb:64 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:16.52 aq:9.66 tex:263899 mv:15824 misc:1725 imb:186 pmb:4139 smb:299 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:16.54 aq:10.96 tex:124368 mv:11006 misc:3210 imb:90 pmb:3665 smb:869 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:16.49 aq:10.82 tex:135330 mv:11593 misc:3237 imb:119 pmb:3573 smb:932 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:16.28 aq:7.60 tex:769642 mv:25242 misc:596 imb:1671 pmb:2925 smb:28 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:16.37 aq:9.07 tex:344882 mv:20081 misc:1301 imb:265 pmb:4196 smb:163 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:16.42 aq:10.83 tex:139579 mv:11707 misc:3266 imb:98 pmb:3680 smb:846 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:16.32 aq:10.80 tex:162334 mv:12425 misc:2969 imb:112 pmb:3841 smb:671 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:16.16 aq:7.10 tex:831744 mv:25371 misc:589 imb:1564 pmb:3039 smb:21 d:- ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:16.22 aq:9.13 tex:370723 mv:18107 misc:1074 imb:359 pmb:4155 smb:110 d:- ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:16.25 aq:10.68 tex:194398 mv:17150 misc:2148 imb:219 pmb:4016 smb:389 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:16.19 aq:10.55 tex:161145 mv:12079 misc:2800 imb:103 pmb:3900 smb:621 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:16.03 aq:7.19 tex:785510 mv:24669 misc:557 imb:1242 pmb:3362 smb:20 d:- ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:16.10 aq:9.41 tex:323982 mv:21508 misc:1278 imb:318 pmb:4142 smb:164 d:- ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:16.13 aq:10.58 tex:151676 mv:12835 misc:3065 imb:99 pmb:3811 smb:714 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:16.06 aq:10.45 tex:188726 mv:17332 misc:2526 imb:222 pmb:3847 smb:555 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:15.88 aq:7.22 tex:825363 mv:27603 misc:538 imb:2110 pmb:2504 smb:10 d:- ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:15.96 aq:8.81 tex:399878 mv:22694 misc:1100 imb:365 pmb:4124 smb:135 d:- ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:15.99 aq:10.40 tex:165911 mv:13266 misc:2999 imb:162 pmb:3719 smb:743 d:- ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:15.92 aq:10.39 tex:184775 mv:13004 misc:2965 imb:165 pmb:3717 smb:742 d:- ref:0 ;
in:148 out:145 type:P dur:2 cpbdur:2 q:15.77 aq:7.35 tex:784106 mv:24073 misc:517 imb:1436 pmb:3175 smb:13 d:- ref:0 ;
